inventory_id,product_id,outlet_id,city,outlet_name,current_stock,min_threshold,reorder_quantity,unit,supplier
1,1,1,Nashik,Nashik City Center,85,20,50,units,Western Coffee Roasters
2,2,1,Nashik,Nashik City Center,14,15,40,units,Western Coffee Roasters
3,3,1,Nashik,Nashik City Center,210,50,100,units,Desi Spices & Teas
4,6,1,Nashik,Nashik City Center,35,10,25,packs,Sahyadri Dairy Products
5,10,1,Nashik,Nashik City Center,18,15,30,pieces,Bakehouse Artisan Supplies
6,18,1,Nashik,Nashik City Center,12,5,15,boxes,MerchPro India
7,21,1,Nashik,Nashik City Center,45,15,30,units,Western Coffee Roasters
8,1,2,Pune,Pune FC Road,120,25,60,units,Western Coffee Roasters
9,4,2,Pune,Pune FC Road,95,20,40,units,Desi Spices & Teas
10,6,2,Pune,Pune FC Road,42,10,30,packs,Sahyadri Dairy Products
11,7,2,Pune,Pune FC Road,55,15,35,packs,Sahyadri Dairy Products
12,10,2,Pune,Pune FC Road,8,15,25,pieces,Bakehouse Artisan Supplies
13,12,2,Pune,Pune FC Road,30,10,20,pieces,Bakehouse Artisan Supplies
14,19,2,Pune,Pune FC Road,40,10,25,bags,Chikmagalur Coffee Co.
15,1,3,Mumbai,Mumbai Andheri East,5,20,50,units,Western Coffee Roasters
16,5,3,Mumbai,Mumbai Andheri East,18,15,30,units,Belgian Choco Imports
17,7,3,Mumbai,Mumbai Andheri East,9,15,40,packs,Sahyadri Dairy Products
18,14,3,Mumbai,Mumbai Andheri East,60,15,30,units,Western Coffee Roasters
19,15,3,Mumbai,Mumbai Andheri East,22,10,25,packs,Sahyadri Dairy Products
20,16,3,Mumbai,Mumbai Andheri East,35,10,20,units,Kyoto Tea Traders
21,23,3,Mumbai,Mumbai Andheri East,4,10,20,bottles,Western Coffee Roasters
22,3,4,Nagpur,Nagpur Dharampeth,180,40,80,units,Desi Spices & Teas
23,8,4,Nagpur,Nagpur Dharampeth,120,30,60,packs,Deccan Snacks Co.
24,9,4,Nagpur,Nagpur Dharampeth,65,15,30,packs,Bakehouse Artisan Supplies
25,11,4,Nagpur,Nagpur Dharampeth,25,10,20,pieces,Bakehouse Artisan Supplies
26,17,4,Nagpur,Nagpur Dharampeth,70,15,30,bottles,Alphonso Beverage Co.
27,26,4,Nagpur,Nagpur Dharampeth,40,10,20,packs,Deccan Snacks Co.
28,2,5,Aurangabad,Aurangabad CIDCO,10,15,30,units,Western Coffee Roasters
29,12,5,Aurangabad,Aurangabad CIDCO,3,10,20,pieces,Bakehouse Artisan Supplies
30,13,5,Aurangabad,Aurangabad CIDCO,5,12,25,pieces,Bakehouse Artisan Supplies
31,20,5,Aurangabad,Aurangabad CIDCO,2,8,15,pieces,Bakehouse Artisan Supplies
32,24,5,Aurangabad,Aurangabad CIDCO,30,10,20,bottles,Desi Spices & Teas
33,1,6,Thane,Thane Estate,90,20,50,units,Western Coffee Roasters
34,6,6,Thane,Thane Estate,48,12,30,packs,Sahyadri Dairy Products
35,10,6,Thane,Thane Estate,28,15,30,pieces,Bakehouse Artisan Supplies
36,27,6,Thane,Thane Estate,35,10,25,packs,Sahyadri Dairy Products
37,28,6,Thane,Thane Estate,20,8,15,boxes,Sahyadri Dairy Products
38,33,6,Thane,Thane Estate,16,5,10,slices,Bakehouse Artisan Supplies
39,3,7,Kolhapur,Kolhapur Tarabai Park,160,40,80,units,Desi Spices & Teas
40,8,7,Kolhapur,Kolhapur Tarabai Park,85,20,40,packs,Deccan Snacks Co.
41,15,7,Kolhapur,Kolhapur Tarabai Park,30,10,20,packs,Sahyadri Dairy Products
42,31,7,Kolhapur,Kolhapur Tarabai Park,50,15,30,pieces,Bakehouse Artisan Supplies
43,34,7,Kolhapur,Kolhapur Tarabai Park,22,8,15,slices,Bakehouse Artisan Supplies
44,1,8,Solapur,Solapur Saat Rasta,40,15,30,units,Western Coffee Roasters
45,3,8,Solapur,Solapur Saat Rasta,110,30,60,units,Desi Spices & Teas
46,9,8,Solapur,Solapur Saat Rasta,12,15,25,packs,Bakehouse Artisan Supplies
47,11,8,Solapur,Solapur Saat Rasta,15,10,20,pieces,Bakehouse Artisan Supplies
48,41,8,Solapur,Solapur Saat Rasta,35,10,20,units,Western Coffee Roasters
49,46,8,Solapur,Solapur Saat Rasta,25,8,15,packs,Deccan Snacks Co.
50,47,8,Solapur,Solapur Saat Rasta,45,15,30,packs,Deccan Snacks Co.
